Year,Total Social Following,YoY Growth,Key Events
2015,2.36,N/A,Pre-digital strategy
2016,7.34,211.50%,"Facebook migration, early FOM initiatives"
2017,11.9,62.10%,Liberty Media acquisition; content restrictions eased
2018,18.5,55.50%,First full year of proactive digital strategy
2019,24.9,34.60%,Launch of Drive to Survive
2020,35,40.60%,Rapid growth sustained during pandemic
2021,49.1,40.30%,Peak growth period coinciding with record TV unique viewers
2022,61,24.20%,Continued expansion; record attendance boom
2023,70.5,15.60%,Maturation of the fan base
2024,97,37.60%,Significant late-stage growth acceleration
2025,120,23.70%,ESTIMATE. Projected based on continued momentum (US followers up 26% YoY )